food_id,name,category,calories,protein,carbohydrates,fats,glycemic_index,gi_category,price,is_vegetarian,meal_type,description
185,Chia Seed Drink,Beverage,80,3.0,10.0,4.0,1,Low,50,TRUE,snack,Chia seeds soaked in water with lemon and honey
186,Turmeric Milk (Haldi Dudh),Beverage,135,6.0,12.0,7.5,40,Low,30,TRUE,breakfast/snack,Warm milk with turmeric and honey anti-inflammatory drink
187,Ginger Tea (Aduwa Chiya),Beverage,10,0.2,2.0,0.1,0,None,10,TRUE,breakfast/snack,Fresh ginger boiled in water with a little honey
188,Apple Juice Fresh,Beverage,48,0.2,11.8,0.1,44,Low,40,TRUE,snack,Freshly pressed apple juice without added sugar
189,Mango Lassi,Beverage,165,4.5,30.0,4.5,55,Medium,50,TRUE,snack/breakfast,Blended mango with yogurt and milk sweet lassi
190,Sugarcane Jaggery (Khaand/Gur),Sweetener,383,0.4,98.0,0.1,84,High,30,TRUE,all,Unrefined cane sugar used in sweets and cooking
191,Honey (Maha),Sweetener,304,0.3,82.0,0.0,58,Medium,100,TRUE,all,Natural honey used as sweetener and in herbal remedies
192,Coconut Fresh (Nariwal),Snack,185,2.0,8.0,17.0,45,Low,50,TRUE,snack/all,Fresh coconut meat high in healthy fats
193,Flaxseeds (Aalsi),Snack,95,3.8,4.5,7.5,35,Low,20,TRUE,snack,Ground or whole flaxseeds high in omega-3 and fibre
194,Hemp Seeds (Bhang Ko Bij),Snack,110,6.3,2.0,9.5,0,None,60,TRUE,snack,Hemp seeds high in complete protein and healthy fats
195,Quinoa (Cooked),Grain,222,8.1,39.4,3.5,53,Low,120,TRUE,breakfast/lunch/dinner,Cooked quinoa complete protein grain gluten free
196,Sweet Potato (Sakharkhanda) Boiled,Vegetable,86,1.6,20.0,0.1,63,Medium,30,TRUE,breakfast/snack,Boiled sweet potato naturally sweet and nutritious
197,Taro Root (Pindalu) Curry,Vegetable,95,2.3,21.5,0.2,55,Medium,35,TRUE,lunch/dinner,Taro root cooked in spiced curry common Nepali vegetable
198,Yam (Tarul) Boiled,Vegetable,118,1.5,27.0,0.2,50,Low,35,TRUE,lunch/dinner,Boiled yam earthy root vegetable high in fibre
199,Broccoli Stir Fry,Vegetable,65,4.0,10.5,2.0,15,Low,60,TRUE,lunch/dinner,Stir fried broccoli with garlic and soy sauce
200,Carrot Halwa (Gajar Ko Halwa),Dessert,220,4.0,32.0,9.0,50,Low,50,TRUE,dessert,Slow cooked carrot sweet with milk ghee and cardamom
